Callsign,Packet,Lat,Lon,Hours,Minutes,Seconds,Alt,AscentRate,Speed,Sats,Temp,Pressure,Humidity,Batt,CNT1_1,CNT1_2,CNT1_3,CNT1_4,CNT2_1,CNT2_2,CNT2_3,CNT2_4,CNT3_1,CNT3_2,CNT3_3,CNT3_4,CNTTemp,CNTHumid
W0MXX,16,4227921,-7297662,17,41,02,158,0.0,0,6,28.6,1001.2,3.6,3.1,19,35,39,37,39940,46423,49571,31358,20130,14814,17471,4893,0.0,0.0
W0MXX,17,4227911,-7297633,17,41,27,157,-0.1,0,6,28.8,1001.3,3.6,3.1,24,33,39,38,39942,46416,49553,31353,20131,14813,17475,4893,0.0,0.0
W0MXX,18,4227913,-7297633,17,41,47,143,-1.5,2,6,28.9,1001.2,3.6,3.1,24,35,31,39,39957,46422,49548,31367,20129,14806,17487,4893,0.0,0.0
W0MXX,19,4227912,-7297632,17,42,07,149,0.6,0,7,29.1,1001.2,3.5,3.1,22,37,35,35,39976,46432,49565,31377,20131,14813,17500,4895,0.0,0.0
W0MXX,20,4227909,-7297631,17,42,27,156,0.8,0,7,29.2,1001.2,3.5,3.1,25,33,35,34,40004,46456,49585,31397,20139,14817,17512,4895,0.0,0.0
W0MXX,21,4227903,-7297623,17,42,47,165,1.0,0,8,29.4,1001.2,3.5,3.1,23,31,28,34,40025,46471,49593,31415,20145,14819,17505,4889,0.0,0.0
W0MXX,22,4227905,-7297624,17,43,07,169,0.4,1,8,29.5,1001.2,3.5,3.1,22,37,35,37,40038,46479,49603,31430,20152,14823,17504,4893,0.0,0.0
W0MXX,23,4227906,-7297624,17,43,27,161,-0.9,0,8,29.6,1001.2,3.5,3.1,22,35,37,35,40067,46508,49618,31449,20152,14829,17509,4907,0.0,0.0
W0MXX,24,4227908,-7297625,17,43,47,157,-0.4,0,8,29.7,1001.2,3.5,3.1,19,31,34,34,40095,46527,49647,31467,20153,14836,17506,4902,0.0,0.0
W0MXX,25,4227906,-7297626,17,44,07,158,0.2,0,8,29.8,1001.2,3.5,3.1,21,36,37,36,40114,46552,49668,31485,20153,14845,17514,4902,0.0,0.0
W0MXX,26,4227904,-7297625,17,44,27,164,0.6,1,8,29.9,1001.3,3.4,3.1,21,36,36,31,40132,46571,49680,31494,20162,14849,17523,4910,0.0,0.0
W0MXX,27,4227905,-7297625,17,44,47,164,0.0,0,8,30.0,1001.2,3.4,3.1,24,36,33,36,40157,46576,49683,31513,20171,14858,17532,4911,0.0,0.0
